"db--table--sql: -- -- 
    select 'database' type,schema_name db,count(*) cnt from information_schema.SCHEMATA  group by db
     union all
     select 'table' type,table_schema db,count(*) cnt from information_schema.TABLES a
            where table_type='BASE TABLE' group by table_schema
     union all
     select 'events' type,event_schema db,count(*) cnt from information_schema.EVENTS b
            group by event_schema
     union all
     select 'triggers' type,trigger_schema db,count(*) cnt
            from information_schema.TRIGGERS c group by trigger_schema
     union all
     select 'procedure' type,routine_schema db,count(*) cnt from information_schema.ROUTINES d
            where routine_type='PROCEDURE' group by db
     union all
     select 'function' type,routine_schema db,count(*) cnt from information_schema.ROUTINES e
            where routine_type='FUNCTION' group by db
     union all
     select 'views' type,table_schema db,count(*) cnt
            from information_schema.views f group by table_schema
     union all
     select 'index' type,index_schema db,count(distinct index_name) cnt
            from information_schema.STATISTICS g group by db
     union all
     select 'partition table' type,table_schema db,count(*) cnt from information_schema.PARTITIONS p
            where partition_name is not null group by db;
    "
type,db,cnt
database,mysql,1
database,information_schema,1
database,performance_schema,1
database,sys,1
database,sakila,1
database,world,1
database,kittenchat,1
database,idc,1
database,yinjinpei0809,1
table,mysql,37
table,performance_schema,110
table,sys,1
table,sakila,16
table,world,3
table,kittenchat,130
table,idc,22
triggers,sys,2
triggers,sakila,6
procedure,sys,26
procedure,sakila,3
function,sys,22
function,sakila,3
views,sys,100
views,sakila,7
index,idc,25
index,kittenchat,130
index,mysql,6
index,performance_schema,36
index,sakila,21
index,sys,1
index,world,2
