"schema--table--sql: BENCHMARKSQL--dba_tables-- SELECT table_name ,num_rows  FROM dba_tables WHERE OWNER='BENCHMARKSQL'and num_rows is not null order by num_rows desc"
TABLE_NAME,NUM_ROWS
BMSQL_ORDER_LINE,845539
BMSQL_ITEM,100000
BMSQL_STOCK,100000
BMSQL_OORDER,84577
BMSQL_HISTORY,82625
BMSQL_CUSTOMER,30000
BMSQL_NEW_ORDER,14277
BMSQL_DISTRICT,10
BMSQL_CONFIG,4
BMSQL_WAREHOUSE,1
"schema--table--sql: DTS_TEST--dba_tables-- SELECT table_name ,num_rows  FROM dba_tables WHERE OWNER='DTS_TEST'and num_rows is not null order by num_rows desc"
TABLE_NAME,NUM_ROWS
TEST_BLOB_AND_CLOB,200
TEST_FKTB_1,100
TEST_FKTB_10,100
TEST_FKTB_100,100
TEST_FKTB_1000,100
TEST_FKTB_10000,100
TEST_FKTB_1001,100
TEST_FKTB_1002,100
TEST_FKTB_1003,100
TEST_FKTB_1004,100
TEST_FKTB_1005,100
TEST_FKTB_1006,100
TEST_FKTB_1007,100
TEST_FKTB_1008,100
TEST_FKTB_1009,100
TEST_FKTB_101,100
TEST_FKTB_1010,100
TEST_FKTB_1011,100
TEST_FKTB_1012,100
TEST_FKTB_1013,100
TEST_FKTB_1014,100
TEST_FKTB_1015,100
TEST_FKTB_1016,100
TEST_FKTB_1017,100
TEST_FKTB_1018,100
TEST_FKTB_1019,100
TEST_FKTB_102,100
TEST_FKTB_1020,100
TEST_FKTB_1021,100
TEST_FKTB_1022,100
TEST_FKTB_1023,100
TEST_FKTB_1024,100
TEST_FKTB_1025,100
TEST_FKTB_1026,100
TEST_FKTB_1027,100
TEST_FKTB_1028,100
TEST_FKTB_1029,100
TEST_FKTB_103,100
TEST_FKTB_1030,100
TEST_FKTB_1031,100
TEST_FKTB_1032,100
TEST_FKTB_1033,100
TEST_FKTB_1034,100
TEST_FKTB_1035,100
TEST_FKTB_1036,100
TEST_FKTB_1037,100
TEST_FKTB_1038,100
TEST_FKTB_1039,100
TEST_FKTB_104,100
TEST_FKTB_1040,100
TEST_FKTB_1041,100
TEST_FKTB_1042,100
TEST_FKTB_1043,100
TEST_FKTB_1044,100
TEST_FKTB_1045,100
TEST_FKTB_1046,100
TEST_FKTB_1047,100
TEST_FKTB_1048,100
TEST_FKTB_1049,100
TEST_FKTB_105,100
TEST_FKTB_1050,100
TEST_FKTB_1051,100
TEST_FKTB_1052,100
TEST_FKTB_1053,100
TEST_FKTB_1054,100
TEST_FKTB_1055,100
TEST_FKTB_1056,100
TEST_FKTB_1057,100
TEST_FKTB_1058,100
TEST_FKTB_1059,100
TEST_FKTB_106,100
TEST_FKTB_1060,100
TEST_FKTB_1061,100
TEST_FKTB_1062,100
TEST_FKTB_1063,100
TEST_FKTB_1064,100
TEST_FKTB_1065,100
TEST_FKTB_1066,100
TEST_FKTB_1067,100
TEST_FKTB_1068,100
TEST_FKTB_1069,100
TEST_FKTB_107,100
TEST_FKTB_1070,100
TEST_FKTB_1071,100
TEST_FKTB_1072,100
TEST_FKTB_1073,100
TEST_FKTB_1074,100
TEST_FKTB_1075,100
TEST_FKTB_1076,100
TEST_FKTB_1077,100
TEST_FKTB_1078,100
TEST_FKTB_1079,100
TEST_FKTB_108,100
TEST_FKTB_1080,100
TEST_FKTB_1081,100
TEST_FKTB_1082,100
TEST_FKTB_1083,100
TEST_FKTB_1084,100
TEST_FKTB_1085,100
TEST_FKTB_1086,100
TEST_FKTB_1087,100
TEST_FKTB_1088,100
TEST_FKTB_1089,100
TEST_FKTB_109,100
TEST_FKTB_1090,100
TEST_FKTB_1091,100
TEST_FKTB_1092,100
TEST_FKTB_1093,100
TEST_FKTB_1094,100
TEST_FKTB_1095,100
TEST_FKTB_1096,100
TEST_FKTB_1097,100
TEST_FKTB_1098,100
TEST_FKTB_1099,100
TEST_FKTB_11,100
TEST_FKTB_110,100
TEST_FKTB_1100,100
TEST_FKTB_1101,100
TEST_FKTB_1102,100
TEST_FKTB_1103,100
TEST_FKTB_1104,100
TEST_FKTB_1105,100
TEST_FKTB_1106,100
TEST_FKTB_1107,100
TEST_FKTB_1108,100
TEST_FKTB_1109,100
TEST_FKTB_111,100
TEST_FKTB_1110,100
TEST_FKTB_1111,100
TEST_FKTB_1112,100
TEST_FKTB_1113,100
TEST_FKTB_1114,100
TEST_FKTB_1115,100
TEST_FKTB_1116,100
TEST_FKTB_1117,100
TEST_FKTB_1118,100
TEST_FKTB_1119,100
TEST_FKTB_112,100
TEST_FKTB_1120,100
TEST_FKTB_1121,100
TEST_FKTB_1122,100
TEST_FKTB_1123,100
TEST_FKTB_1124,100
TEST_FKTB_1125,100
TEST_FKTB_1126,100
TEST_FKTB_1127,100
TEST_FKTB_1128,100
TEST_FKTB_1129,100
TEST_FKTB_113,100
TEST_FKTB_1130,100
TEST_FKTB_1131,100
TEST_FKTB_1132,100
TEST_FKTB_1133,100
TEST_FKTB_1134,100
TEST_FKTB_1135,100
TEST_FKTB_1136,100
TEST_FKTB_1137,100
TEST_FKTB_1138,100
TEST_FKTB_1139,100
TEST_FKTB_114,100
TEST_FKTB_1140,100
TEST_FKTB_1141,100
TEST_FKTB_1142,100
TEST_FKTB_1143,100
TEST_FKTB_1144,100
TEST_FKTB_1145,100
TEST_FKTB_1146,100
TEST_FKTB_1147,100
TEST_FKTB_1148,100
TEST_FKTB_1149,100
TEST_FKTB_115,100
TEST_FKTB_1150,100
TEST_FKTB_1151,100
TEST_FKTB_1152,100
TEST_FKTB_1153,100
TEST_FKTB_1154,100
TEST_FKTB_1155,100
TEST_FKTB_1156,100
TEST_FKTB_1157,100
TEST_FKTB_1158,100
TEST_FKTB_1159,100
TEST_FKTB_116,100
TEST_FKTB_1160,100
TEST_FKTB_1161,100
TEST_FKTB_1162,100
TEST_FKTB_1163,100
TEST_FKTB_1164,100
TEST_FKTB_1165,100
TEST_FKTB_1166,100
TEST_FKTB_1167,100
TEST_FKTB_1168,100
TEST_FKTB_1169,100
TEST_FKTB_117,100
TEST_FKTB_1170,100
TEST_FKTB_1171,100
TEST_FKTB_1172,100
TEST_FKTB_1173,100
TEST_FKTB_1174,100
TEST_FKTB_1175,100
TEST_FKTB_1176,100
TEST_FKTB_1177,100
TEST_FKTB_1178,100
TEST_FKTB_1179,100
TEST_FKTB_118,100
TEST_FKTB_1180,100
TEST_FKTB_1181,100
TEST_FKTB_1182,100
TEST_FKTB_1183,100
TEST_FKTB_1184,100
TEST_FKTB_1185,100
TEST_FKTB_1186,100
TEST_FKTB_1187,100
TEST_FKTB_1188,100
TEST_FKTB_1189,100
TEST_FKTB_119,100
TEST_FKTB_1190,100
TEST_FKTB_1191,100
TEST_FKTB_1192,100
TEST_FKTB_1193,100
TEST_FKTB_1194,100
TEST_FKTB_1195,100
TEST_FKTB_1196,100
TEST_FKTB_1197,100
TEST_FKTB_1198,100
TEST_FKTB_1199,100
TEST_FKTB_12,100
TEST_FKTB_120,100
TEST_FKTB_1200,100
TEST_FKTB_1201,100
TEST_FKTB_1202,100
TEST_FKTB_1203,100
TEST_FKTB_1204,100
TEST_FKTB_1205,100
TEST_FKTB_1206,100
TEST_FKTB_1207,100
TEST_FKTB_1208,100
TEST_FKTB_1209,100
TEST_FKTB_121,100
TEST_FKTB_1210,100
TEST_FKTB_1211,100
TEST_FKTB_1212,100
TEST_FKTB_1213,100
TEST_FKTB_1214,100
TEST_FKTB_1215,100
TEST_FKTB_1216,100
TEST_FKTB_1217,100
TEST_FKTB_1218,100
TEST_FKTB_1219,100
TEST_FKTB_122,100
TEST_FKTB_1220,100
TEST_FKTB_1221,100
TEST_FKTB_1222,100
TEST_FKTB_1223,100
TEST_FKTB_1224,100
TEST_FKTB_1225,100
TEST_FKTB_1226,100
TEST_FKTB_1227,100
TEST_FKTB_1228,100
TEST_FKTB_1229,100
TEST_FKTB_123,100
TEST_FKTB_1230,100
TEST_FKTB_1231,100
TEST_FKTB_1232,100
TEST_FKTB_1233,100
TEST_FKTB_1234,100
TEST_FKTB_1235,100
TEST_FKTB_1236,100
TEST_FKTB_1237,100
TEST_FKTB_1238,100
TEST_FKTB_1239,100
TEST_FKTB_124,100
TEST_FKTB_1240,100
TEST_FKTB_1241,100
TEST_FKTB_1242,100
TEST_FKTB_1243,100
TEST_FKTB_1244,100
TEST_FKTB_1245,100
TEST_FKTB_1246,100
TEST_FKTB_1247,100
TEST_FKTB_1248,100
TEST_FKTB_1249,100
TEST_FKTB_125,100
TEST_FKTB_1250,100
TEST_FKTB_1251,100
TEST_FKTB_1252,100
TEST_FKTB_1253,100
TEST_FKTB_1254,100
TEST_FKTB_1255,100
TEST_FKTB_1256,100
TEST_FKTB_1257,100
TEST_FKTB_1258,100
TEST_FKTB_1259,100
TEST_FKTB_126,100
TEST_FKTB_1260,100
TEST_FKTB_1261,100
TEST_FKTB_1262,100
TEST_FKTB_1263,100
TEST_FKTB_1264,100
TEST_FKTB_1265,100
TEST_FKTB_1266,100
