"db--table--sql: idc-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'idc' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
auth_permission,68
django_migrations,29
django_content_type,17
account_user_property,8
todo,6
account_cache,2
account_user,0
account_user_groups,0
account_user_user_permissions,0
account_verifyinfo,0
auth_group,0
auth_group_permissions,0
corsheaders_corsmodel,0
discovery_script,0
django_admin_log,0
django_session,0
django_site,0
idc_cabinet,0
idc_datacenter,0
idc_device,0
idc_serverroom,0
idc_u_info,0
"db--table--sql: information_schema-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'information_schema' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
ADMINISTRABLE_ROLE_AUTHORIZATIONS,0
APPLICABLE_ROLES,0
CHARACTER_SETS,0
CHECK_CONSTRAINTS,0
COLLATION_CHARACTER_SET_APPLICABILITY,0
COLLATIONS,0
COLUMN_PRIVILEGES,0
COLUMN_STATISTICS,0
COLUMNS,0
COLUMNS_EXTENSIONS,0
ENABLED_ROLES,0
ENGINES,0
EVENTS,0
FILES,0
INNODB_BUFFER_PAGE,0
INNODB_BUFFER_PAGE_LRU,0
INNODB_BUFFER_POOL_STATS,0
INNODB_CACHED_INDEXES,0
INNODB_CMP,0
INNODB_CMP_PER_INDEX,0
INNODB_CMP_PER_INDEX_RESET,0
INNODB_CMP_RESET,0
INNODB_CMPMEM,0
INNODB_CMPMEM_RESET,0
INNODB_COLUMNS,0
INNODB_DATAFILES,0
INNODB_FIELDS,0
INNODB_FOREIGN,0
INNODB_FOREIGN_COLS,0
INNODB_FT_BEING_DELETED,0
INNODB_FT_CONFIG,0
INNODB_FT_DEFAULT_STOPWORD,0
INNODB_FT_DELETED,0
INNODB_FT_INDEX_CACHE,0
INNODB_FT_INDEX_TABLE,0
INNODB_INDEXES,0
INNODB_METRICS,0
INNODB_SESSION_TEMP_TABLESPACES,0
INNODB_TABLES,0
INNODB_TABLESPACES,0
INNODB_TABLESPACES_BRIEF,0
INNODB_TABLESTATS,0
INNODB_TEMP_TABLE_INFO,0
INNODB_TRX,0
INNODB_VIRTUAL,0
KEY_COLUMN_USAGE,0
KEYWORDS,0
OPTIMIZER_TRACE,0
PARAMETERS,0
PARTITIONS,0
PLUGINS,0
PROCESSLIST,0
PROFILING,0
REFERENTIAL_CONSTRAINTS,0
RESOURCE_GROUPS,0
ROLE_COLUMN_GRANTS,0
ROLE_ROUTINE_GRANTS,0
ROLE_TABLE_GRANTS,0
ROUTINES,0
SCHEMA_PRIVILEGES,0
SCHEMATA,0
SCHEMATA_EXTENSIONS,0
ST_GEOMETRY_COLUMNS,0
ST_SPATIAL_REFERENCE_SYSTEMS,0
ST_UNITS_OF_MEASURE,0
STATISTICS,0
TABLE_CONSTRAINTS,0
TABLE_CONSTRAINTS_EXTENSIONS,0
TABLE_PRIVILEGES,0
TABLES,0
TABLES_EXTENSIONS,0
TABLESPACES,0
TABLESPACES_EXTENSIONS,0
TRIGGERS,0
USER_ATTRIBUTES,0
USER_PRIVILEGES,0
VIEW_ROUTINE_USAGE,0
VIEW_TABLE_USAGE,0
VIEWS,0
"db--table--sql: kittenchat-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'kittenchat' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
dayu_dayuregister,55094
agora_channelhistory,8534
report_houractiverecord,7132
dayu_dayucharge,5467
xadmin_log,2561
account_useraccount,2552
account_pkgpathmap,2152
agora_gifthistory,1740
agora_audiohistory,1466
account_anchoractivityrecord,807
account_userlike,671
mediafile_anchorreviewhistory,648
payments_billing,588
account_userdynamics,555
auth_permission,472
mediafile_dynamicsresource,452
auth_group_permissions,384
agora_callevaluation,382
mediafile_anchormediafile,379
report_datarecord,287
payments_billingv2,258
opconf_country,252
blacklist_userblacklist,250
django_migrations,231
account_anchoraccount,195
account_usercomment,163
games_minesweeperrecord,163
report_reportrecord,128
account_usermatchrecord,121
report_reportdynamicsrecord,120
django_content_type,118
account_userrelation,115
games_dogrecord,114
agora_callevaluation_choice_reason,100
payments_goodsconfig,93
payments_goodslist,85
rewards_anchorrewardshistory,85
account_anchorbanner,83
agora_anchorimpressionrecord,82
opconf_citymodel,79
opconf_packagesmodel,75
games_concentrationrecord,71
django_session,69
account_userflashmob,65
report_userfeedbackrecord,65
opconf_pkginfo,59
account_userrewardhistory,57
games_scriptrecord,56
games_scriptroom,47
opconf_settingsmodel_pkgs,47
account_clientusercoinspentrecord,42
account_answer024,40
report_feedbackattach,33
account_usermatchhistory,31
games_scriptroomreport,31
account_question024,30
mediafile_userdynamictopicrecord,30
payments_pkgtemplateconfig,28
payments_pricingconfig,28
opconf_settingsmodel,26
opconf_settingsmodel_countries,25
agora_anchorwithdraw,22
account_catinfo,19
agora_gift,19
account_usergroup,18
account_anchorlevelhistory,15
opconf_ipwhitelist,15
account_anchordiamondrecord,13
account_userpuzzleinfo,13
report_commonreportrecord,13
account_chatroom,11
agora_audiochannelcover,11
payments_goodstemplate,11
account_chatroom_participant,10
blacklist_anchorblacklist,9
mediafile_matchvideorecord,9
mediafile_userquestionrecord,9
payments_goodsactivity_at_location,9
account_usersort,8
agora_anchorimpressiontag,7
auth_user,7
xadmin_usersettings,6
account_subject023,5
account_usersignin,5
mediafile_testquestion,5
account_matchanchorrecord,4
account_matchcommunitymodel,4
agora_callevaluationtag,4
opconf_funcabtest_country,4
opconf_functionswitch_pkgs,4
payments_goodsactivity,4
account_roomavatar,3
mediafile_userreviewhistory,3
mediafile_usertopic,3
payments_activitylocation,3
account_useraccounttag,2
guild_guild,2
mediafile_usertopicdynamicbanner,2
mediafile_uservoice,2
opconf_anchorshortvideo,2
opconf_funcabtest,2
opconf_functionswitch,2
opconf_pkgdefaultmediaconfig,2
payments_activitytype,2
account_anchorlevelhistoryv2,0
account_anchorlevels,0
account_booksnote,0
account_cloakrecord,0
account_f012information,0
account_f012informationcomment,0
account_invcoderecord,0
account_notepost,0
account_subject035,0
agora_audiochannelrecord,0
agora_liveaudit,0
auth_group,0
auth_user_groups,0
auth_user_user_permissions,0
django_admin_log,0
mediafile_usermediafile,0
mediafile_videodynamic,0
opconf_cameracchargeconfig,0
opconf_redirectuser,0
opconf_redirectuser_user_country,0
payments_userconsumptionrecord,0
report_feedbackrecord,0
report_userfeedbackrecord_tags,0
report_userfeedbacktag,0
xadmin_bookmark,0
xadmin_userwidget,0
"db--table--sql: mysql-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'mysql' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
help_relation,2416
innodb_index_stats,1336
help_keyword,885
help_topic,602
innodb_table_stats,173
help_category,53
global_grants,47
server_cost,6
user,4
slow_log,2
db,2
engine_cost,2
replication_group_member_actions,2
general_log,2
tables_priv,2
replication_group_configuration_version,1
proxies_priv,1
component,0
default_roles,0
func,0
replication_asynchronous_connection_failover_managed,0
replication_asynchronous_connection_failover,0
procs_priv,0
role_edges,0
plugin,0
servers,0
slave_master_info,0
slave_relay_log_info,0
slave_worker_info,0
password_history,0
gtid_executed,0
time_zone,0
time_zone_leap_second,0
time_zone_name,0
time_zone_transition,0
time_zone_transition_type,0
columns_priv,0
"db--table--sql: performance_schema-- -- 
        select table_name,table_rows from information_schema.tables
        where TABLE_SCHEMA = 'performance_schema' order by table_rows desc;"
TABLE_NAME,TABLE_ROWS
events_errors_summary_by_thread_by_error,403200
events_errors_summary_by_account_by_error,201600
events_errors_summary_by_host_by_error,201600
events_errors_summary_by_user_by_error,201600
variables_by_thread,171776
events_waits_summary_by_thread_by_event_name,167424
session_account_connect_attrs,131072
session_connect_attrs,131072
memory_summary_by_thread_by_event_name,115200
data_lock_waits,99999
data_locks,99999
